State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
NC,127,415,No,Yes,25.0,82.2,95.0,13.97,163.3,109.0,13.88,264.9,104,11.92,5.1,6.0,1.38,0.0,False
NJ,42,415,No,Yes,32.0,163.8,80.0,27.85,177.8,123.0,15.11,190.4,106,8.57,8.1,5.0,2.19,0.0,False
AR,118,415,No,No,0.0,267.8,145.0,45.53,316.4,121.0,26.89,208.6,91,9.39,14.4,10.5,3.89,3.5,True
IA,45,510,No,No,0.0,159.8,91.0,27.17,120.4,86.0,10.23,163.0,93,7.34,10.6,3.0,2.86,2.0,False
GA,50,408,No,Yes,24.0,214.3,129.0,36.43,289.8,55.0,24.63,312.5,130,14.06,10.6,4.0,2.86,1.0,False
MO,179,510,No,No,0.0,287.3,123.0,48.84,288.0,114.0,24.48,266.0,112,11.97,10.5,4.0,2.84,0.0,True
MO,152,408,No,No,0.0,101.2,122.0,17.2,141.6,87.0,12.04,198.5,124,8.93,7.5,3.0,2.03,2.0,False
WY,105,415,No,No,0.0,102.8,74.0,17.48,281.7,125.0,23.94,228.1,113,10.26,13.2,5.0,3.56,2.0,False
HI,72,415,No,No,0.0,109.1,97.0,18.55,115.7,96.0,9.83,295.8,84,13.31,8.3,6.0,2.24,0.0,False
PA,52,408,No,No,0.0,215.9,67.0,36.7,217.0,108.0,18.45,340.79999999999995,130,15.331250000000002,5.2,2.0,1.4,1.0,False
TX,125,415,No,No,0.0,203.4,110.0,34.58,128.7,97.0,10.94,190.5,113,8.57,11.0,4.0,2.97,1.0,False
VA,143,510,No,No,0.0,110.1,113.0,18.72,169.0,59.0,14.37,166.7,94,7.5,9.2,2.0,2.48,1.0,False
RI,65,415,No,No,0.0,111.0,51.0,18.87,219.8,84.0,18.68,202.0,89,9.09,4.4,10.5,1.19,1.0,False
WI,80,415,No,No,0.0,239.9,121.0,40.78,142.3,51.0,12.1,340.79999999999995,106,15.331250000000002,9.3,5.0,2.51,1.0,False
NC,43,415,No,No,0.0,84.2,134.0,14.31,80.8,103.0,6.87,196.1,79,8.82,10.8,2.0,2.92,1.0,False
NV,143,415,No,No,0.0,209.1,127.0,35.55,106.1,80.0,9.02,179.6,90,8.08,14.0,6.0,3.78,0.0,False
UT,81,415,No,Yes,24.0,130.1,117.0,22.12,196.0,61.0,16.66,139.3,123,6.27,11.4,5.0,3.08,0.0,False
ME,205,510,No,Yes,24.0,175.8,139.0,29.89,155.0,98.0,13.18,180.7,64,8.13,7.8,5.0,2.11,2.0,False
HI,24,415,No,No,0.0,241.9,104.0,41.12,145.2,112.0,12.34,214.5,105,9.65,6.6,5.0,1.78,1.0,False
OH,74,415,No,No,0.0,136.7,106.0,23.24,228.6,105.0,19.43,265.3,114,11.94,9.8,4.0,2.65,0.0,False
OK,74,415,No,No,0.0,200.4,87.0,34.07,309.2,105.0,26.28,152.1,118,6.84,10.0,2.0,2.7,1.0,False
KY,74,510,Yes,No,0.0,125.8,103.0,21.39,207.7,96.0,17.65,207.4,143,9.33,14.1,4.0,3.81,1.0,True
AL,200,408,No,No,0.0,128.2,87.0,21.79,133.2,105.0,11.32,177.6,123,7.99,11.2,2.0,3.02,1.0,False
MD,86,408,No,No,0.0,226.3,88.0,38.47,223.0,107.0,18.96,255.6,92,11.5,13.0,3.0,3.51,3.5,False
NE,91,510,No,Yes,37.0,162.3,107.0,27.59,233.9,115.0,19.88,277.4,94,12.48,9.2,4.0,2.48,0.0,False
TX,130,415,No,No,0.0,120.5,127.0,20.49,189.7,52.0,16.12,270.1,107,12.15,14.3,2.0,3.86,1.0,False
OH,56,408,No,No,0.0,91.1,90.0,15.49,179.3,115.0,15.24,300.7,89,13.53,11.9,8.0,3.21,2.0,False
DE,117,415,No,No,0.0,168.8,137.0,28.7,241.4,107.0,20.52,204.8,106,9.22,15.5,4.0,4.19,0.0,False
VT,126,415,No,No,0.0,226.2,88.0,38.45,140.3,114.0,11.93,208.9,110,9.4,6.4,2.0,1.73,0.0,False
OR,132,510,No,No,0.0,191.9,107.0,32.62,206.9,127.0,17.59,272.0,88,12.24,12.6,2.0,3.4,1.0,False
NV,81,415,No,Yes,28.0,167.9,147.0,28.54,190.7,105.0,16.21,193.0,103,8.69,9.2,6.0,2.48,3.5,True
NC,122,415,No,No,0.0,180.0,88.0,30.6,145.0,77.0,12.33,233.7,120,10.52,11.5,6.0,3.11,2.0,False
NJ,46,408,No,No,0.0,257.4,67.0,43.76,261.1,91.0,22.19,204.4,107,9.2,13.4,5.0,3.62,2.0,True
ID,99,408,No,No,0.0,159.7,83.0,27.15,155.4,121.0,13.21,255.7,114,11.51,8.4,3.0,2.27,1.0,False
AL,87,408,No,No,0.0,237.2,124.0,40.32,222.6,87.0,18.92,173.3,81,7.8,11.0,3.0,2.97,1.0,False
AK,108,415,No,No,0.0,103.0,129.0,17.51,242.3,103.0,20.6,170.2,89,7.66,7.9,3.0,2.13,1.0,False
PA,53,415,No,No,0.0,205.1,86.0,34.87,160.5,95.0,13.64,149.5,142,6.73,10.7,2.0,2.89,3.0,False
NV,144,415,Yes,No,0.0,150.0,69.0,25.5,285.9,73.0,24.3,190.6,121,8.58,9.4,10.5,2.54,0.0,False
AL,91,510,No,Yes,23.0,232.4,97.0,39.51,186.0,88.0,15.81,190.5,128,8.57,12.3,3.0,3.32,3.0,False
GA,58,408,No,No,0.0,165.4,100.0,28.12,115.7,87.0,9.83,193.8,118,8.72,12.8,5.0,3.46,2.0,False
AR,5,415,No,No,0.0,199.2,106.0,33.86,187.3,46.5,15.92,214.0,85,9.63,13.3,3.0,3.59,3.0,False
MA,97,408,No,No,0.0,217.6,81.0,36.99,320.5,51.0,27.24,150.7,110,6.78,4.2,3.0,1.13,0.0,False
MO,142,415,No,Yes,30.0,154.0,75.0,26.18,165.8,97.0,14.09,270.0,83,12.15,10.8,5.0,2.92,1.0,False
NY,9,408,No,Yes,31.0,193.8,130.0,32.95,202.6,98.0,17.22,191.2,102,8.6,13.3,2.0,3.59,1.0,False
AZ,73,415,No,No,0.0,175.4,130.0,29.82,248.1,105.0,21.09,122.4,85,5.51,12.2,4.0,3.29,0.0,False
WV,43,408,No,No,0.0,230.2,147.0,39.13,186.7,121.0,15.87,128.4,100,5.78,9.2,3.0,2.48,0.0,False
NM,122,408,No,Yes,33.0,174.9,103.0,29.73,248.2,105.0,21.1,164.6,116,7.41,13.5,3.0,3.65,1.0,True
SC,93,415,No,No,0.0,190.2,68.0,32.33,262.2,64.0,22.29,130.0,92,5.85,8.8,4.0,2.38,0.0,False
VT,85,415,No,No,0.0,176.4,122.0,29.99,224.9,123.0,19.12,219.6,50,9.88,11.5,1.0,3.11,1.0,False
LA,87,415,No,No,0.0,228.7,90.0,38.88,163.0,99.0,13.86,154.1,90,6.93,11.8,3.0,3.19,1.0,False
OH,137,408,No,No,0.0,144.0,90.0,24.48,181.6,100.0,15.44,128.1,93,5.76,12.3,2.0,3.32,0.0,False
OR,21,510,No,Yes,31.0,135.9,90.0,23.1,271.0,84.0,23.04,179.1,89,8.06,9.5,7.0,2.57,3.5,False
KY,104,415,No,No,0.0,130.5,77.0,22.19,131.2,117.0,11.15,264.7,63,11.91,13.0,6.0,3.51,0.0,False
GA,93,408,No,Yes,21.0,134.2,105.0,22.81,162.5,128.0,13.81,186.6,90,8.4,11.8,2.0,3.19,3.5,True
VT,63,415,No,No,0.0,278.0,102.0,47.26,266.4,114.0,22.64,224.1,118,10.08,13.1,4.0,3.54,3.5,True
OR,161,415,No,No,0.0,105.4,70.0,17.92,214.8,122.0,18.26,223.6,126,10.06,7.8,5.0,2.11,0.0,False
MO,103,408,No,Yes,24.0,111.8,85.0,19.01,239.6,102.0,20.37,268.3,81,12.07,6.9,4.0,1.86,1.0,False
ND,84,415,No,Yes,33.0,159.1,106.0,27.05,149.8,101.0,12.73,213.4,108,9.6,13.0,10.5,3.51,1.0,False
MN,92,510,No,No,0.0,212.4,105.0,36.11,224.6,118.0,19.09,221.3,105,9.96,9.0,4.0,2.43,1.0,False
NV,77,415,No,No,0.0,142.3,112.0,24.19,306.3,111.0,26.04,196.5,82,8.84,9.9,1.0,2.67,1.0,False
NY,64,415,Yes,No,0.0,324.65,55.0,55.18000000000001,249.5,79.0,21.21,275.4,102,12.39,13.3,9.0,3.59,1.0,True
FL,159,415,No,Yes,15.0,113.9,102.0,19.36,145.3,146.0,12.35,195.2,137,8.78,11.8,9.0,3.19,1.0,False
KS,110,415,Yes,Yes,27.0,267.9,103.0,45.54,263.3,74.0,22.38,178.1,106,8.01,8.3,2.0,2.24,1.0,True
NV,138,510,No,No,0.0,171.4,117.0,29.14,115.2,128.0,9.79,224.5,115,10.1,17.0,4.0,4.59,3.0,False
NV,178,408,No,No,0.0,275.4,150.0,46.82,187.5,62.0,15.94,147.1,126,6.62,13.6,3.0,3.67,1.0,False
SC,38,415,No,Yes,31.0,197.2,118.0,33.52,249.9,70.0,21.24,298.9,104,13.45,3.9,2.0,1.05,0.0,False
MI,45,510,No,Yes,26.0,91.7,104.0,15.59,150.6,119.0,12.8,63.3,103,2.85,7.7,5.0,2.08,1.0,False
TN,70,510,No,No,0.0,126.3,99.0,21.47,141.6,106.0,12.04,255.9,96,11.52,9.6,2.0,2.59,0.0,False
NY,147,510,No,Yes,33.0,251.5,107.0,42.76,234.1,110.0,19.9,213.4,87,9.6,10.4,6.0,2.81,3.0,False
NV,94,510,No,No,0.0,190.6,108.0,32.4,152.3,95.0,12.95,144.7,97,6.51,7.5,5.0,2.03,1.0,False
IL,179,510,No,No,0.0,116.1,101.0,19.74,201.8,99.0,17.15,181.9,103,8.19,11.6,5.0,3.13,0.0,False
ND,59,510,No,No,0.0,179.4,80.0,30.5,232.5,99.0,19.76,175.8,105,7.91,14.7,3.0,3.97,0.0,False
NC,165,415,No,No,0.0,207.7,109.0,35.31,164.8,94.0,14.01,62.60000000000004,91,2.8212499999999974,7.9,3.0,2.13,0.0,False
MI,133,408,No,No,0.0,277.3,138.0,47.14,228.4,117.0,19.41,117.3,103,5.28,12.8,4.0,3.46,2.0,True
TN,140,415,No,No,0.0,125.3,84.0,21.3,167.6,121.0,14.25,260.6,94,11.73,8.4,4.0,2.27,1.0,False
VT,93,408,No,Yes,32.0,138.1,91.0,23.48,167.3,72.0,14.22,238.9,115,10.75,6.8,3.0,1.84,2.0,False
DE,64,415,No,Yes,27.0,201.3,101.0,34.22,143.8,89.0,12.22,150.2,127,6.76,12.3,3.0,3.32,1.0,False
OR,48,415,No,No,0.0,190.4,92.0,32.37,317.5,85.0,26.99,133.4,113,6.0,8.3,4.0,2.24,2.0,False
NY,181,408,No,No,0.0,143.3,91.0,24.36,195.5,58.0,16.62,223.3,95,10.05,6.0,7.0,1.62,1.0,False
MO,168,415,No,Yes,42.0,97.4,57.0,16.56,203.6,98.0,17.31,173.9,124,7.83,11.4,2.0,3.08,2.0,False
FL,155,415,No,No,0.0,181.4,111.0,30.84,167.7,92.0,14.25,168.5,122,7.58,11.3,3.0,3.05,3.0,False
NY,11,415,No,No,0.0,143.4,130.0,24.38,289.4,50.0,24.6,194.0,100,8.73,9.7,6.0,2.62,2.0,False
ND,182,415,No,No,0.0,104.9,111.0,17.83,198.5,120.0,16.87,258.2,91,11.62,8.0,5.0,2.16,2.0,False
OH,102,415,No,No,0.0,114.8,125.0,19.52,81.9,126.0,6.96,304.3,101,13.69,12.0,4.0,3.24,0.0,False
AL,122,415,No,No,0.0,232.5,96.0,39.53,205.5,120.0,17.47,213.7,91,9.62,11.9,2.0,3.21,0.0,False
SC,41,415,No,No,0.0,143.6,117.0,24.41,152.4,108.0,12.95,194.4,110,8.75,8.6,3.0,2.32,1.0,False
GA,132,415,No,No,0.0,176.7,132.0,30.04,244.1,80.0,20.75,176.3,120,7.93,9.1,4.0,2.46,2.0,False
WY,76,415,No,No,0.0,263.4,148.0,44.78,230.3,69.0,19.58,170.6,101,7.68,11.4,5.0,3.08,1.0,True
HI,115,415,No,Yes,33.0,145.0,72.0,24.65,194.5,154.5,16.53,242.3,138,10.9,14.2,3.0,3.83,2.0,False
LA,154,510,No,No,0.0,166.9,99.0,28.37,154.9,97.0,13.17,189.4,89,8.52,7.2,5.0,1.94,0.0,False
AR,100,510,No,No,0.0,142.5,87.0,24.23,195.7,88.0,16.63,122.1,117,5.49,7.8,8.0,2.11,2.0,False
AK,146,510,Yes,No,0.0,133.0,65.0,22.61,262.8,93.0,22.34,214.3,128,9.64,11.2,3.0,3.02,1.0,False
AL,67,415,No,Yes,28.0,95.0,94.0,16.15,291.2,73.0,24.75,159.6,114,7.18,10.0,2.0,2.7,2.0,False
UT,161,510,Yes,No,0.0,194.2,106.0,33.01,249.4,105.0,21.2,254.9,129,11.47,12.9,1.0,3.48,1.0,True
KS,70,415,No,No,0.0,222.8,114.0,37.88,215.9,113.0,18.35,223.5,122,10.06,3.1000000000000005,0.0,0.8449999999999995,1.0,False
VA,99,415,No,Yes,42.0,216.0,125.0,36.72,232.3,104.0,19.75,215.5,100,9.7,9.3,4.0,2.51,2.0,True
UT,87,415,No,No,0.0,146.3,108.0,24.87,171.8,102.0,14.6,167.5,66,7.54,5.3,9.0,1.43,1.0,False
IN,87,510,No,No,0.0,234.8,85.0,39.92,140.9,91.0,11.98,204.3,93,9.19,9.5,5.0,2.57,1.0,False
CT,70,408,No,No,0.0,198.6,111.0,33.76,213.9,115.0,18.18,171.2,105,7.7,10.6,6.0,2.86,2.0,False
MO,119,408,No,Yes,32.0,142.6,77.0,24.24,208.2,126.0,17.7,171.0,102,7.69,12.0,2.0,3.24,3.0,False
RI,87,510,Yes,No,0.0,134.2,80.0,22.81,165.0,71.0,14.03,173.1,102,7.79,10.7,5.0,2.89,0.0,False
CA,112,415,No,No,0.0,111.9,92.0,19.02,114.0,143.0,9.69,146.8,79,6.61,14.1,3.0,3.81,3.5,True
RI,75,415,No,No,0.0,122.8,89.0,20.88,211.3,104.0,17.96,261.4,91,11.76,10.7,2.0,2.89,2.0,False
CT,150,510,No,No,0.0,189.3,77.0,32.18,220.9,105.0,18.78,238.7,117,10.74,9.2,5.0,2.48,3.5,False
IN,161,510,No,Yes,38.0,240.4,112.0,40.87,201.8,102.0,17.15,206.1,112,9.27,16.1,6.0,4.35,0.0,False
FL,91,510,Yes,Yes,24.0,93.5,112.0,15.9,183.4,128.0,15.59,240.7,133,10.83,9.9,3.0,2.67,0.0,False
KS,124,415,No,No,0.0,158.6,104.0,26.96,211.2,77.0,17.95,179.3,104,8.07,10.2,8.0,2.75,3.0,False
RI,158,510,No,No,0.0,220.9,129.0,37.55,242.2,108.0,20.59,233.3,75,10.5,6.4,5.0,1.73,0.0,False
NV,102,415,No,No,0.0,144.4,87.0,24.55,266.5,128.0,22.65,217.6,59,9.79,7.1,7.0,1.92,0.0,False
UT,85,510,No,No,0.0,212.3,107.0,36.09,228.4,103.0,19.41,163.3,116,7.35,7.7,3.0,2.08,0.0,False
OK,79,510,No,No,0.0,147.0,72.0,24.99,165.7,102.0,14.08,243.2,107,10.94,8.4,9.0,2.27,1.0,False
MN,139,510,No,Yes,25.0,96.2,112.0,16.35,178.9,70.0,15.21,182.1,84,8.19,12.9,10.0,3.48,2.0,False
NC,103,415,No,No,0.0,263.4,118.0,44.78,179.1,69.0,15.22,214.7,112,9.66,10.3,2.0,2.78,0.0,False
OR,98,415,Yes,No,0.0,34.650000000000006,67.0,5.899999999999995,256.6,90.0,21.81,169.4,88,7.62,7.7,9.0,2.08,1.0,False
NH,78,408,No,No,0.0,162.3,116.0,27.59,192.4,86.0,16.35,240.6,100,10.83,10.1,3.0,2.73,2.0,False
AK,50,408,No,No,0.0,183.6,107.0,31.21,60.60000000000004,118.0,5.155000000000001,202.6,99,9.12,8.7,3.0,2.35,1.0,False
WV,86,415,No,Yes,38.0,123.0,154.5,20.91,133.9,119.0,11.38,138.2,103,6.22,13.3,4.0,3.59,1.0,False
GA,92,510,No,No,0.0,208.0,125.0,35.36,198.9,76.0,16.91,76.4,97,3.44,8.6,6.0,2.32,0.0,False
NM,174,415,No,No,0.0,239.2,72.0,40.66,188.5,124.0,16.02,105.6,116,4.75,8.8,3.0,2.38,1.0,False
OH,124,510,No,No,0.0,193.0,97.0,32.81,89.8,99.0,7.63,172.8,104,7.78,15.3,3.0,4.13,1.0,False
RI,190,415,No,Yes,26.0,116.7,71.0,19.84,145.9,88.0,12.4,175.1,103,7.88,9.9,3.0,2.67,1.0,False
HI,101,510,No,No,0.0,93.8,127.0,15.95,150.0,104.0,12.75,241.1,116,10.85,10.7,2.0,2.89,1.0,False
WY,185,415,Yes,Yes,30.0,154.1,114.0,26.2,118.7,106.0,10.09,258.4,105,11.63,12.9,3.0,3.48,2.0,False
NY,68,415,No,Yes,29.0,239.5,82.0,40.72,203.8,105.0,17.32,167.8,70,7.55,9.9,6.0,2.67,0.0,False
KS,117,510,No,Yes,25.0,216.0,140.0,36.72,224.1,69.0,19.05,267.9,112,12.06,11.8,4.0,3.19,0.0,False
LA,118,408,No,No,0.0,187.4,97.0,31.86,177.8,89.0,15.11,233.4,97,10.5,12.2,6.0,3.29,1.0,False
PA,124,415,No,No,0.0,167.4,119.0,28.46,233.2,143.0,19.82,109.6,115,4.93,10.3,5.0,2.78,0.0,False
NV,22,510,No,No,0.0,160.4,108.0,27.27,218.1,88.0,18.54,192.9,115,8.68,12.5,4.0,3.38,1.0,False
MN,75,415,No,No,0.0,143.2,92.0,24.34,209.1,142.0,17.77,173.0,96,7.79,11.9,9.0,3.21,1.0,False
MO,164,408,No,Yes,25.0,219.1,88.0,37.25,151.5,99.0,12.88,62.60000000000004,60,2.8212499999999974,14.3,6.0,3.86,1.0,False
ME,177,415,No,No,0.0,232.8,106.0,39.58,175.2,97.0,14.89,212.2,77,9.55,12.5,7.0,3.38,2.0,False
NH,110,408,No,No,0.0,162.0,81.0,27.54,247.5,89.0,21.04,155.5,99,7.0,8.9,8.0,2.4,0.0,False
MN,158,408,No,No,0.0,209.9,112.0,35.68,221.3,82.0,18.81,210.0,93,9.45,8.2,3.0,2.21,1.0,False
OH,114,415,No,No,0.0,191.5,88.0,32.56,175.2,78.0,14.89,220.3,118,9.91,3.1000000000000005,0.0,0.8449999999999995,0.0,False
NC,64,408,No,Yes,19.0,291.1,150.0,49.49,226.7,123.0,19.27,219.1,67,9.86,7.5,2.0,2.03,1.0,False
KY,111,415,No,No,0.0,255.9,97.0,43.5,204.1,129.0,17.35,171.3,84,7.71,12.3,5.0,3.32,3.0,False
MT,60,408,No,No,0.0,252.7,97.0,42.96,221.1,121.0,18.79,109.9,100,4.95,12.4,4.0,3.35,2.0,False
NJ,113,408,No,No,0.0,132.1,72.0,22.46,247.5,107.0,21.04,246.2,123,11.08,6.9,6.0,1.86,3.0,False
FL,109,408,No,No,0.0,217.0,115.0,36.89,207.0,142.0,17.6,268.0,106,12.06,8.2,4.0,2.21,1.0,False
IN,105,510,No,Yes,42.0,101.9,79.0,17.32,223.1,97.0,18.96,241.6,77,10.87,12.9,2.0,3.48,0.0,False
DE,85,510,No,No,0.0,211.5,100.0,35.96,184.6,88.0,15.69,164.3,131,7.39,13.3,4.0,3.59,2.0,False
AL,131,510,No,No,0.0,153.4,86.0,26.08,198.5,81.0,16.87,164.4,83,7.4,10.4,3.0,2.81,0.0,False
ME,59,510,No,No,0.0,166.3,95.0,28.27,239.3,87.0,20.34,123.2,108,5.54,10.0,3.0,2.7,2.0,False
SD,148,408,No,No,0.0,185.2,87.0,31.48,170.4,96.0,14.48,165.1,104,7.43,9.5,10.5,2.57,1.0,False
VA,208,408,No,No,0.0,104.6,121.0,17.78,149.5,71.0,12.71,255.1,67,11.48,6.5,8.0,1.76,2.0,False
ID,106,510,No,No,0.0,274.4,120.0,46.65,198.6,82.0,16.88,160.8,62,7.24,6.0,3.0,1.62,1.0,False
KY,57,415,No,Yes,29.0,279.9,121.0,47.58,223.1,109.0,18.96,251.7,94,11.33,13.0,2.0,3.51,1.0,False
ND,98,510,No,No,0.0,187.2,127.0,31.82,195.6,88.0,16.63,181.8,129,8.18,5.1,4.0,1.38,1.0,False
HI,157,415,No,No,0.0,276.2,95.0,46.95,165.8,119.0,14.09,151.6,79,6.82,3.1000000000000005,4.0,0.8449999999999995,3.0,False
WI,116,415,No,Yes,35.0,200.4,104.0,34.07,272.8,89.0,23.19,214.5,100,9.65,8.3,4.0,2.24,1.0,False
WV,30,510,No,No,0.0,162.3,96.0,27.59,244.0,122.0,20.74,180.1,89,8.1,9.1,4.0,2.46,2.0,False
NJ,111,510,No,No,0.0,176.9,128.0,30.07,102.8,56.0,8.74,213.7,84,9.62,10.5,2.0,2.84,3.5,True
KS,52,415,No,No,0.0,165.5,78.0,28.14,205.5,89.0,17.47,213.6,124,9.61,12.2,6.0,3.29,0.0,False
NJ,135,510,No,Yes,28.0,201.4,100.0,34.24,246.5,117.0,20.95,154.8,131,6.97,12.9,4.0,3.48,2.0,True
NC,86,510,No,No,0.0,190.5,115.0,32.39,179.6,130.0,15.27,258.5,89,11.63,10.1,5.0,2.73,3.0,False
WY,151,510,No,No,0.0,235.9,104.0,40.1,80.6,91.0,6.85,212.8,116,9.58,5.8,2.0,1.57,3.0,False
NY,117,415,No,No,0.0,144.6,115.0,24.58,258.8,66.0,22.0,253.2,113,11.39,7.4,9.0,2.0,2.0,False
ID,82,408,No,No,0.0,101.0,93.0,17.17,155.6,104.0,13.23,304.4,93,13.7,13.3,2.0,3.59,0.0,False
IA,152,415,No,No,0.0,206.3,98.0,35.07,292.8,82.0,24.89,62.60000000000004,121,2.8212499999999974,10.6,4.0,2.86,1.0,False
TN,108,408,No,Yes,15.0,165.1,85.0,28.07,267.0,93.0,22.7,250.7,114,11.28,10.9,4.0,2.94,1.0,False
OH,98,408,No,No,0.0,165.0,129.0,28.05,202.6,113.0,17.22,172.3,94,7.75,12.5,7.0,3.38,1.0,True
MA,47,415,No,No,0.0,155.3,116.0,26.4,188.2,85.0,16.0,247.0,73,11.12,12.3,4.0,3.32,3.0,False
OK,189,415,No,No,0.0,208.3,106.0,35.41,236.7,123.0,20.12,179.1,120,8.06,11.3,5.0,3.05,3.0,False
NE,159,415,No,No,0.0,189.1,105.0,32.15,246.1,147.0,20.92,242.0,106,10.89,10.4,5.0,2.81,1.0,True
VA,11,408,No,Yes,24.0,131.5,98.0,22.36,230.2,111.0,19.57,283.7,87,12.77,10.0,3.0,2.7,2.0,False
MT,111,408,No,No,0.0,142.3,75.0,24.19,122.8,106.0,10.44,229.5,94,10.33,12.8,9.0,3.46,2.0,False
VT,99,408,No,Yes,19.0,87.7,103.0,14.91,223.0,86.0,18.96,182.3,112,8.2,7.3,4.0,1.97,2.0,False
VA,114,415,Yes,Yes,31.0,174.5,104.0,29.67,224.2,92.0,19.06,116.3,91,5.23,12.3,10.0,3.32,2.0,False
AL,71,415,No,No,0.0,103.3,103.0,17.56,138.5,79.0,11.77,164.8,98,7.42,9.0,2.0,2.43,2.0,False
AL,100,408,No,Yes,25.0,246.6,94.0,41.92,141.4,112.0,12.02,189.8,109,8.54,13.0,5.0,3.51,1.0,False
WV,83,415,No,Yes,37.0,78.5,109.0,13.35,210.5,101.0,17.89,179.7,102,8.09,11.8,4.0,3.19,1.0,False
NV,64,408,No,No,0.0,148.1,73.0,25.18,164.9,101.0,14.02,216.0,125,9.72,12.3,2.0,3.32,3.5,True
TN,105,408,No,No,0.0,206.2,84.0,35.05,256.4,138.0,21.79,117.1,91,5.27,9.0,3.0,2.43,1.0,False
ID,144,415,No,Yes,33.0,251.6,87.0,42.77,197.6,118.0,16.8,209.2,97,9.41,12.2,3.0,3.29,2.0,False
WY,106,415,Yes,Yes,26.0,270.3,111.0,45.95,215.2,90.0,18.29,254.0,133,11.43,14.4,7.0,3.89,1.0,True
TX,19,510,No,Yes,34.0,156.6,97.0,26.62,224.2,97.0,19.06,260.9,135,11.74,11.3,1.0,3.05,1.0,False
MA,46,408,No,No,0.0,139.4,81.0,23.7,223.7,113.0,19.01,173.1,77,7.79,13.6,6.0,3.67,1.0,False
IL,127,510,No,No,0.0,220.2,108.0,37.43,188.4,124.0,16.01,172.7,113,7.77,11.7,3.0,3.16,2.0,False
LA,9,415,No,Yes,39.0,214.1,108.0,36.4,169.2,115.0,14.38,189.7,117,8.54,10.1,3.0,2.73,1.0,False
CO,157,415,No,No,0.0,196.0,74.0,33.32,213.4,96.0,18.14,196.8,81,8.86,7.9,6.0,2.13,1.0,False
UT,105,415,No,No,0.0,106.4,71.0,18.09,240.1,83.0,20.41,147.7,114,6.65,5.3,4.0,1.43,3.5,True
ID,31,415,No,No,0.0,177.3,129.0,30.14,152.8,105.0,12.99,162.9,92,7.33,5.1,2.0,1.38,0.0,False
MN,95,408,No,Yes,32.0,262.2,123.0,44.57,165.2,82.0,14.04,194.3,57,8.74,10.6,5.0,2.86,0.0,False
GA,132,415,No,No,0.0,193.3,106.0,32.86,128.3,94.0,10.91,162.1,119,7.29,11.6,4.0,3.13,3.5,True
HI,119,408,No,Yes,24.0,217.2,94.0,36.92,138.7,52.0,11.79,139.3,85,6.27,11.3,4.0,3.05,0.0,False
AL,16,408,No,No,0.0,209.5,89.0,35.62,172.8,85.0,14.69,94.1,102,4.23,8.8,4.0,2.38,1.0,False
CT,99,408,No,No,0.0,95.4,105.0,16.22,207.2,101.0,17.61,136.0,117,6.12,5.6,5.0,1.51,1.0,False
CO,76,408,No,Yes,26.0,214.6,110.0,36.48,205.2,87.0,17.44,134.6,140,6.06,8.1,2.0,2.19,1.0,False
KS,167,415,No,No,0.0,131.6,120.0,22.37,211.3,96.0,17.96,168.3,97,7.57,11.1,4.0,3.0,3.5,True
NJ,129,415,No,No,0.0,168.4,117.0,28.63,217.1,129.0,18.45,81.6,100,3.67,11.8,7.0,3.19,1.0,False
FL,116,408,No,No,0.0,146.4,123.0,24.89,176.6,113.0,15.01,212.6,102,9.57,7.8,5.0,2.11,1.0,False
CA,60,415,Yes,No,0.0,183.0,110.0,31.11,206.7,93.0,17.57,203.8,119,9.17,11.1,6.0,3.0,1.0,False
TX,47,408,No,Yes,28.0,112.2,70.0,19.07,154.8,106.0,13.16,166.7,105,7.5,10.6,2.0,2.86,0.0,False
MN,40,510,Yes,No,0.0,170.7,55.0,29.02,179.1,108.0,15.22,281.9,89,12.69,8.2,9.0,2.21,3.0,False
AK,173,510,No,No,0.0,172.5,78.0,29.33,142.6,91.0,12.12,102.0,63,4.59,10.9,2.0,2.94,0.0,False
OR,157,510,No,Yes,30.0,194.3,107.0,33.03,243.2,108.0,20.67,322.2,114,14.5,7.1,5.0,1.92,1.0,False
MS,66,408,No,Yes,32.0,187.8,117.0,31.93,129.8,90.0,11.03,132.3,113,5.95,12.0,3.0,3.24,2.0,False
VT,50,415,Yes,Yes,26.0,307.1,94.0,52.21,289.4,78.0,24.6,174.9,109,7.87,8.0,3.0,2.16,0.0,False
UT,72,415,No,No,0.0,118.2,106.0,20.09,167.2,136.0,14.21,214.2,106,9.64,12.2,3.0,3.29,3.0,False
KS,130,510,No,No,0.0,154.0,95.0,26.18,205.9,106.0,17.5,233.7,75,10.52,12.9,1.0,3.48,1.0,False
NV,143,408,No,No,0.0,155.5,101.0,26.44,213.4,89.0,18.14,237.9,61,10.71,7.6,10.5,2.05,1.0,False
TX,32,408,No,No,0.0,157.9,88.0,26.84,180.8,132.0,15.37,132.5,102,5.96,12.8,3.0,3.46,1.0,False
MA,166,415,No,No,0.0,203.4,81.0,34.58,167.7,110.0,14.25,132.0,124,5.94,9.2,5.0,2.48,2.0,False
